condition,frontier_delta,ontology_delta,read_delta,unfinished_delta,cliche_delta,banned_core_delta,stock_any_delta,reroute_any_delta,base_banned_core_rate,ablation_banned_core_rate,base_reroute_any_rate,ablation_reroute_any_rate
selector_alpha_0,8.286595906969833e-05,0.008752588081151667,-0.0029956571341642757,0.023472949389179765,-0.0253235892961024,-0.18223712914485166,-0.1455879144851658,-0.02334205933682365,0.19270833333333334,0.010471204188481676,0.5416666666666666,0.518324607329843
steer_alpha_0p66,0.009504211070906793,0.05816653647453392,-0.024309876752281356,0.04348958333333333,-0.25173611111111116,-0.71875,-0.5989583333333333,0.078125,0.7864583333333334,0.06770833333333333,0.65625,0.734375
steer_alpha_0p77,0.0009800819899344476,0.015925610667220896,-0.01490258229653496,0.03515625,-0.31250000000000006,-0.75,-0.6666666666666667,0.16145833333333337,0.8333333333333334,0.08333333333333333,0.6510416666666666,0.8125
steer_alpha_0p82,-0.011524390763774837,-0.06299540947947613,-0.037516302179226746,0.005104166666666632,-0.24305555555555558,-0.6666666666666667,-0.53125,-0.03645833333333337,0.8333333333333334,0.16666666666666666,0.703125,0.6666666666666666
