condition,rows,picked,frontier_mean,ontology_mean,read_mean,unfinished_mean,cliche_mean,music_box_rate,stock_hub_rate,transport_hub_rate,picked_music_box_rate,wide_rows,wide_music_box_rate,wide_stock_hub_rate,music_box_count,leather_bound_book_count,key_count,clock_watch_count,book_any_count,door_count,bird_count,mist_fog_count,porcelain_doll_count,teapot_cup_count
selector_alpha_0,192,24,0.012382510578882212,0.04407051437072059,0.6498347971541956,0.03333333333333333,0.16319444444444445,0.06770833333333333,0.19270833333333334,0.3802083333333333,0.041666666666666664,10,0.1,0.2,13,11,4,12,35,15,4,3,8,1
steer_alpha_0p66,192,24,0.023604096916429868,0.11468208666565753,0.5787726663347047,0.22526041666666666,0.7690972222222222,0.453125,0.75,0.8125,0.5,31,0.5161290322580645,0.8387096774193549,87,45,17,24,68,15,6,17,68,12
steer_alpha_0p77,192,24,0.032625604010712066,0.17825972568748324,0.5820605933877728,0.2625,0.7986111111111112,0.6145833333333334,0.7864583333333334,0.8229166666666666,0.5833333333333334,13,0.7692307692307693,0.8461538461538461,118,61,11,20,64,10,12,13,57,12
steer_alpha_0p82,192,24,0.03767129967811036,0.21374933442117308,0.5998553508905903,0.29531250000000003,0.7708333333333334,0.5364583333333334,0.8177083333333334,0.8541666666666666,0.6666666666666666,12,0.5833333333333334,0.9166666666666666,103,44,18,28,44,18,8,16,43,15
