probe,vector_family,layers,alpha,seed,count,readable_ontology_frontier,ontology_collapse_density,syntax_readability_proxy,graph_fragmentation,semantic_loop_pressure,trajectory_revisit_pressure,lineage_bridge,unbridged_novelty,object_budget_pressure,traceable_transport_score,ordinary_anchor_retention,stock_prop_attractor_score,fantasy_prop_score,unfinished
endpoint_mid,endpoint,9-15,0.0,A blue mug near the sink,3,0.05965405594459005,0.1922222222222222,0.7441458333333334,0.40874236806328024,0.2976190476190476,0.041375,0.375,0.48333333333333334,0.05277777777777778,0.17158098560636006,0.6666666666666666,0.0,0.0,0.0
endpoint_mid,endpoint,9-15,0.0,I am waiting for the printer,3,0.013131896296296297,0.037037037037037035,0.8060555555555555,0.592788808552713,0.0,0.31740079365079366,0.3125,0.4222222222222223,0.06944444444444443,0.2020338729112413,0.6666666666666666,0.0,0.0,0.0
endpoint_mid,endpoint,9-15,0.0,The laundry basket by the door,3,0.008895417621304967,0.022222222222222223,0.8264534050179212,0.3788097886540602,0.0,0.06407142857142857,0.5833333333333334,0.3055555555555555,0.016666666666666666,0.5000814778645833,0.6666666666666666,0.0,0.0,0.0
endpoint_mid,endpoint,9-15,0.0,The spreadsheet was still open,3,0.0,0.0,0.8551272727272727,0.3644596774193549,0.0,0.016249999999999997,0.08333333333333333,0.8055555555555555,0.10555555555555556,0.11393472713894315,0.6666666666666666,0.2222222222222222,0.0,0.0
endpoint_mid,endpoint,9-15,0.8,A blue mug near the sink,3,0.0,0.0,0.8533333333333334,0.26087989741688306,0.0,0.01895833333333333,0.5,0.35555555555555557,0.016666666666666666,0.44715106119791664,0.6666666666666666,0.0,0.0,0.0
endpoint_mid,endpoint,9-15,0.8,I am waiting for the printer,3,0.01909736842105263,0.06666666666666667,0.8855614035087719,0.7137844982078855,0.0,0.007463235294117646,0.08333333333333333,0.9246031746031745,0.5854166666666666,0.0529984183039671,0.3333333333333333,0.0,0.0,0.0
endpoint_mid,endpoint,9-15,0.8,The laundry basket by the door,3,0.012444049701314219,0.022222222222222223,0.7680885006386307,0.48075247188233844,0.0,0.019166666666666665,0.23958333333333334,0.7259259259259259,0.2916666666666667,0.18356515344690394,0.5,0.0,0.0,0.0
endpoint_mid,endpoint,9-15,0.8,The spreadsheet was still open,3,0.014867180839501448,0.04262879631232199,0.7433906263369555,0.66256621554814,0.0,0.029162895927601813,0.225,0.6904761904761904,0.36388888888888893,0.1606327071513827,0.5,0.0,0.0,0.0
endpoint_mid,endpoint,9-15,1.1,A blue mug near the sink,3,0.0,0.0,0.805513468013468,0.2221057038684959,0.0,0.0431547619047619,0.6666666666666666,0.1111111111111111,0.0,0.6977278645833334,0.75,0.0,0.0,0.0
endpoint_mid,endpoint,9-15,1.1,I am waiting for the printer,3,0.02690561158893316,0.06666666666666667,0.8160107264489449,0.5373348738457193,0.0,0.023181818181818182,0.17500000000000002,0.7777777777777778,0.2354166666666667,0.1361222318398832,0.5833333333333334,0.0,0.0,0.0
endpoint_mid,endpoint,9-15,1.1,The laundry basket by the door,3,0.0,0.0,0.8560416666666667,0.18282258064516135,0.0,0.09075,0.7916666666666666,0.1111111111111111,0.0,0.7318549479166667,0.6666666666666666,0.0,0.0,0.0
endpoint_mid,endpoint,9-15,1.1,The spreadsheet was still open,3,0.0,0.0,0.8414473684210527,0.34345967741935485,0.0,0.053125,0.4583333333333333,0.5,0.03333333333333333,0.4292971171061198,0.5,0.0,0.0,0.0
endpoint_mid,endpoint,9-15,1.4,A blue mug near the sink,3,0.02770856798574831,0.08888888888888889,0.7374354770912147,0.7151768322827833,0.0,0.06148809523809523,0.39166666666666666,0.5158730158730159,0.2152777777777778,0.29902002072773287,0.6666666666666666,0.0,0.0,0.0
