probe,label,vector_family,layers,alpha,scope,count,readable_ontology_frontier,ontology_collapse_density,syntax_readability_proxy,graph_fragmentation,semantic_loop_pressure,trajectory_revisit_pressure,lineage_bridge,unbridged_novelty,object_budget_pressure,traceable_transport_score,ordinary_anchor_retention,stock_prop_attractor_score,fantasy_prop_score,unfinished
endpoint_mid,"Endpoint, layers 9-15",endpoint,9-15,0.0,pool,48,0.005981246156261509,0.01849537037037037,0.8211624407368808,0.6491898409774088,0.029658882783882786,0.053265735566516814,0.21263020833333335,0.7202050264550265,0.3470052083333333,0.15540758581272932,0.546875,0.020833333333333332,0.0,0.0
endpoint_mid,"Endpoint, layers 9-15",endpoint,9-15,0.0,picked,12,0.020420342465547827,0.06287037037037037,0.8079455166585207,0.43620016067235207,0.0744047619047619,0.10977430555555555,0.3385416666666667,0.5041666666666667,0.06111111111111111,0.24690776588028196,0.6666666666666666,0.05555555555555555,0.0,0.0
endpoint_mid,"Endpoint, layers 9-15",endpoint,9-15,0.8,pool,48,0.004196929417651569,0.011191288581582387,0.8230201059931029,0.6679447884664619,0.0,0.040225491661975796,0.24879092261904764,0.6928428631553633,0.36124131944444443,0.17458756208005213,0.53125,0.013888888888888888,0.018229166666666668,0.0
endpoint_mid,"Endpoint, layers 9-15",endpoint,9-15,0.8,picked,12,0.011602149740467076,0.03287942130030272,0.8125934659544228,0.5294957707638117,0.0,0.018687782805429865,0.26197916666666665,0.6741402116402117,0.31440972222222224,0.21108683502504258,0.5,0.0,0.0,0.0
endpoint_mid,"Endpoint, layers 9-15",endpoint,9-15,1.1,pool,48,0.002803469481944756,0.007407407407407408,0.8302293068367074,0.6161817946693416,0.019345238095238096,0.03323457488691863,0.2500186011904762,0.6903534544159545,0.35651041666666666,0.21103364721469423,0.5260416666666666,0.013888888888888888,0.020833333333333332,0.0
endpoint_mid,"Endpoint, layers 9-15",endpoint,9-15,1.1,picked,12,0.00672640289723329,0.016666666666666666,0.8297533073875331,0.32143070894468284,0.0,0.052552895021645014,0.5229166666666667,0.375,0.0671875,0.49875054036150074,0.625,0.0,0.0,0.0
endpoint_mid,"Endpoint, layers 9-15",endpoint,9-15,1.4,pool,48,0.003298365085664333,0.009814814814814814,0.8215961016336563,0.7446334394366757,0.015625,0.033014728113903956,0.17935267857142856,0.7664399836274836,0.4095486111111111,0.13023706091888962,0.515625,0.013888888888888888,0.010416666666666666,0.0
endpoint_mid,"Endpoint, layers 9-15",endpoint,9-15,1.4,picked,12,0.011386482331904644,0.0337037037037037,0.8222253798666669,0.6095811356754419,0.0,0.041978632478632476,0.24077380952380953,0.665079365079365,0.30416666666666664,0.18928539759510243,0.6041666666666666,0.0,0.0,0.0
transition_early,"Transition, layers 2-8",transition,2-8,0.0,pool,48,0.006964341951265726,0.02034722222222222,0.798305766799145,0.6252955269137225,0.018601190476190476,0.051054473304473304,0.3184895833333333,0.5934358465608466,0.26471354166666666,0.2322167408563169,0.6614583333333334,0.006944444444444444,0.0,0.0
transition_early,"Transition, layers 2-8",transition,2-8,0.0,picked,12,0.01990716629153014,0.059166666666666666,0.7707770514962463,0.3930077593931529,0.0744047619047619,0.05330934343434343,0.48125,0.41180555555555554,0.09878472222222223,0.3771108656798215,0.6875,0.027777777777777776,0.0,0.0
