name,condition,path,picked_count,phenomenon_label,trajectory_score,trajectory_frontier_auc,readable_transition_auc,terminal_frontier,terminal_readability,terminal_unfinished,mean_ontology_collapse_density,mean_unfinished,unfinished_rate,anchor_survival,lineage_continuity,object_lineage_continuity,lineage_quality,hub_revisit_rate,hub_revisit_count,transport_hub_mentions,motif_entropy,motif_repetition,motif_loop_penalty,stock_prop_dependence,soft_style_dependence,now_chain_pressure,inscription_pressure,repetition_collapse_penalty,peak_frontier,peak_frontier_step,post_peak_decay,suggested_stop_step,failure_pressure,seed
steer_alpha_0p72_c19_tok140_seed03_the_bus_was_ten_minutes_late.json,steer_alpha_0p72,experiments/frontier_sweep_mundane_seed_probe/steer_alpha_0p72_c19_tok140_seed03_the_bus_was_ten_minutes_late.json,5,stock_prop_attractor_trajectory,0.3110032359005724,0.16038021019683268,0.07368132329381655,0.19171475163299126,0.6886562733597839,0.0,0.5567099567099567,0.16,0.4,0.25,0.85,0.4333333333333333,0.6625,0.4166666666666667,5,12,0.8804166001518264,0.6363636363636364,0.44926946330137546,0.79,0.4,0.8,0.0,0.1952109528705138,0.21799762490064406,1,0.0262828732676528,3,0.38131263416323746,The bus was ten minutes late
steer_alpha_0p72_c19_tok140_seed04_a_blue_mug_near_the_sink.json,steer_alpha_0p72,experiments/frontier_sweep_mundane_seed_probe/steer_alpha_0p72_c19_tok140_seed04_a_blue_mug_near_the_sink.json,5,trajectory_truncation_failure,0.35648165926967995,0.12203514433214013,0.06257246718544568,0.09495660829548036,0.6620968657733364,0.4,0.49704481792717087,0.24000000000000005,0.6,0.75,0.8,0.6566666666666666,0.7355,0.47368421052631576,9,19,0.9173423989503993,0.7435897435897436,0.5156821291129482,1.0,0.6666666666666666,0.5,0.0,0.21133912059847892,0.18576663641452348,2,0.09081002811904312,3,0.4223951580369926,A blue mug near the sink
steer_alpha_0p72_c19_tok140_seed05_the_spreadsheet_was_still_open.json,steer_alpha_0p72,experiments/frontier_sweep_mundane_seed_probe/steer_alpha_0p72_c19_tok140_seed05_the_spreadsheet_was_still_open.json,5,trajectory_truncation_failure,0.238053367137406,0.08931475645726483,0.022605505355419758,0.09586240936188378,0.5618487365870544,0.4,0.4981435472739821,0.32,0.8,0.5,0.75,0.22000000000000003,0.5115000000000001,0.42105263157894735,8,19,0.8851338617034061,0.7222222222222222,0.5068160835653122,0.975,0.4,0.6,0.0,0.3228231078850404,0.10439618537055477,1,0.008533776008670987,3,0.4534099141284585,The spreadsheet was still open
steer_alpha_0p72_c19_tok140_seed06_the_elevator_button_was_cracked.json,steer_alpha_0p72,experiments/frontier_sweep_mundane_seed_probe/steer_alpha_0p72_c19_tok140_seed06_the_elevator_button_was_cracked.json,5,motif_loop_trajectory,0.2882567838349134,0.1415880832455493,0.059920426240274396,0.21345440042080085,0.7274056845628634,0.0,0.5317227007502084,0.16,0.4,0.5,0.65,0.3,0.4925,0.4166666666666667,5,12,0.9761379259542109,0.7804878048780488,0.5758798476937088,0.9,0.6,0.7,0.0,0.5760455799319588,0.21345440042080085,5,0.0,3,0.46220051281607527,The elevator button was cracked
steer_alpha_0p72_c19_tok140_seed07_a_delivery_label_on_a_cardboard_box.json,steer_alpha_0p72,experiments/frontier_sweep_mundane_seed_probe/steer_alpha_0p72_c19_tok140_seed07_a_delivery_label_on_a_cardboard_box.json,5,trajectory_truncation_failure,0.3283646143010502,0.13173682772603007,0.06217848177704709,0.08862750140442516,0.599992756122801,0.4,0.49566233766233764,0.24000000000000005,0.6,0.75,0.85,0.42857142857142855,0.660357142857143,0.42857142857142855,9,21,0.9568002778156798,0.7567567567567568,0.5173752109582345,0.915,0.4666666666666666,0.6,0.0,0.2982660161811335,0.21687183204295282,2,0.12824433063852766,3,0.43804239712738685,A delivery label on a cardboard box
steer_alpha_0p72_c19_tok140_seed08_i_am_opening_the_fridge.json,steer_alpha_0p72,experiments/frontier_sweep_mundane_seed_probe/steer_alpha_0p72_c19_tok140_seed08_i_am_opening_the_fridge.json,5,readable_ontology_collapse_trajectory,0.4044115783440742,0.20220633972529883,0.0976419480265663,0.24232050466295246,0.8852737549010128,0.0,0.5429089640541693,0.08,0.2,1.0,0.6,0.25,0.44250000000000006,0.35294117647058826,6,17,0.9646600103740803,0.6764705882352942,0.4501689741717241,0.745,0.4,0.7,0.5,0.27290369438803186,0.25057058852229996,2,0.008250083859347501,3,0.40780098937307663,I am opening the fridge
steer_alpha_0p77_c19_tok140_seed01_the_receipt_on_the_counter.json,steer_alpha_0p77,experiments/frontier_sweep_mundane_seed_probe/steer_alpha_0p77_c19_tok140_seed01_the_receipt_on_the_counter.json,5,stock_prop_attractor_trajectory,0.24199126921094766,0.11172483761470378,0.03771821214311296,0.10445928562607111,0.5850094401101653,0.4,0.44079675396962764,0.16,0.4,0.3333333333333333,0.75,0.12000000000000002,0.4665,0.26666666666666666,4,15,0.9571293476711782,0.6521739130434783,0.40344776741133903,0.775,0.13333333333333333,0.6,0.3,0.27593448923060815,0.16414651236597308,2,0.05968722673990197,3,0.39214425250986024,The receipt on the counter
steer_alpha_0p77_c19_tok140_seed02_a_plastic_folder_in_the_drawer.json,steer_alpha_0p77,experiments/frontier_sweep_mundane_seed_probe/steer_alpha_0p77_c19_tok140_seed02_a_plastic_folder_in_the_drawer.json,5,trajectory_truncation_failure,0.3551575015373162,0.13411441584286668,0.05181213231871899,0.08702945388193203,0.6249767441860465,0.4,0.5545925925925926,0.24000000000000005,0.6,0.75,0.9,0.4619047619047619,0.702857142857143,0.2777777777777778,5,18,0.9393046714424175,0.47619047619047616,0.3502424252107889,0.475,0.4666666666666667,0.9,0.2,0.29287879272061135,0.19818965036936784,2,0.1111601964874358,3,0.38801176361759665,A plastic folder in the drawer
steer_alpha_0p77_c19_tok140_seed03_the_bus_was_ten_minutes_late.json,steer_alpha_0p77,experiments/frontier_sweep_mundane_seed_probe/steer_alpha_0p77_c19_tok140_seed03_the_bus_was_ten_minutes_late.json,5,trajectory_truncation_failure,0.3353762423671958,0.0991908744048362,0.043710802320436684,0.10410412163580869,0.6409719539674875,0.4,0.3843202450570872,0.24000000000000005,0.6,0.75,0.8,0.52,0.674,0.5714285714285714,12,21,0.913543926888039,0.7209302325581395,0.5626165887257645,1.0,0.6666666666666667,0.3,0.0,0.26574075093779254,0.12285474825438499,2,0.018750626618576294,3,0.41107225277975407,The bus was ten minutes late
steer_alpha_0p77_c19_tok140_seed04_a_blue_mug_near_the_sink.json,steer_alpha_0p77,experiments/frontier_sweep_mundane_seed_probe/steer_alpha_0p77_c19_tok140_seed04_a_blue_mug_near_the_sink.json,5,trajectory_truncation_failure,0.4354987944035555,0.14762770671119835,0.08154167256927489,0.23667459950904748,0.8230115233796982,0.0,0.5526797385620915,0.24000000000000005,0.6,1.0,0.9,0.7444444444444445,0.8300000000000001,0.47058823529411764,8,17,0.8875921325644591,0.76,0.5362269383953725,1.0,0.7333333333333333,0.7,0.0,0.29231116256509837,0.23667459950904748,5,0.0,3,0.4506105446948903,A blue mug near the sink
steer_alpha_0p77_c19_tok140_seed05_the_spreadsheet_was_still_open.json,steer_alpha_0p77,experiments/frontier_sweep_mundane_seed_probe/steer_alpha_0p77_c19_tok140_seed05_the_spreadsheet_was_still_open.json,5,readable_ontology_collapse_trajectory,0.442084433739726,0.1753713668101776,0.10223340065057322,0.21771059285053496,0.8972144961592473,0.0,0.5507690476190477,0.08,0.2,0.75,0.8,0.5333333333333333,0.68,0.4,4,10,0.9211641382769397,0.5,0.4033925466369591,0.575,0.4,0.7,0.0,0.2419627331847956,0.21771059285053496,5,0.0,3,0.31143366464141525,The spreadsheet was still open
steer_alpha_0p77_c19_tok140_seed06_the_elevator_button_was_cracked.json,steer_alpha_0p77,experiments/frontier_sweep_mundane_seed_probe/steer_alpha_0p77_c19_tok140_seed06_the_elevator_button_was_cracked.json,5,lineage_break_trajectory,0.24468762171700523,0.12182820746898775,0.039869001678668886,0.10517224589236923,0.6266105687550643,0.4,0.45538461538461544,0.16,0.4,0.25,0.4,0.0,0.22000000000000003,0.0,0,7,0.9732146334251459,0.36363636363636365,0.16809996514762143,0.355,0.2,0.5,0.0,0.20413618937447078,0.20648084507042253,4,0.1013085991780533,3,0.22585219392964717,The elevator button was cracked
steer_alpha_0p77_c19_tok140_seed07_a_delivery_label_on_a_cardboard_box.json,steer_alpha_0p77,experiments/frontier_sweep_mundane_seed_probe/steer_alpha_0p77_c19_tok140_seed07_a_delivery_label_on_a_cardboard_box.json,5,motif_loop_trajectory,0.4133412771180358,0.17289651134452066,0.09161791301085441,0.21884843750000002,0.93625,0.0,0.5575477582846005,0.16,0.4,0.75,0.85,0.43,0.661,0.47368421052631576,9,19,0.9488797676933355,0.74,0.5136055171957418,0.9,0.5333333333333333,0.7,0.0,0.2072381122944981,0.2527740851928563,2,0.0339256476928563,3,0.40479672806987654,A delivery label on a cardboard box
steer_alpha_0p77_c19_tok140_seed08_i_am_opening_the_fridge.json,steer_alpha_0p77,experiments/frontier_sweep_mundane_seed_probe/steer_alpha_0p77_c19_tok140_seed08_i_am_opening_the_fridge.json,5,trajectory_truncation_failure,0.3741023183849109,0.12723963322190152,0.05598464990335437,0.10269239795467458,0.6217322138753867,0.4,0.5571559290382819,0.32,0.8,1.0,0.95,0.6190476190476191,0.8010714285714287,0.4827586206896552,14,29,0.9173749832339759,0.7272727272727273,0.516402987843652,1.0,0.5333333333333333,0.8,0.0,0.2230807699392634,0.22045852527705598,1,0.1177661273223814,3,0.4800539486375869,I am opening the fridge
steer_alpha_0p82_c19_tok140_seed01_the_receipt_on_the_counter.json,steer_alpha_0p82,experiments/frontier_sweep_mundane_seed_probe/steer_alpha_0p82_c19_tok140_seed01_the_receipt_on_the_counter.json,5,trajectory_truncation_failure,0.2558638910161303,0.10116527028462996,0.031625605940380976,0.078509365,0.46564465408805034,0.4,0.4996388028895769,0.32,0.8,0.6666666666666666,0.8,0.5,0.665,0.5555555555555556,5,9,0.945551450959047,0.8222222222222222,0.6290201360306351,1.0,0.26666666666666666,0.9,0.0,0.45621179126428685,0.12842742077419356,1,0.04991805577419356,3,0.5431922545367925,The receipt on the counter
steer_alpha_0p82_c19_tok140_seed02_a_plastic_folder_in_the_drawer.json,steer_alpha_0p82,experiments/frontier_sweep_mundane_seed_probe/steer_alpha_0p82_c19_tok140_seed02_a_plastic_folder_in_the_drawer.json,5,trajectory_truncation_failure,0.278000703210188,0.14314982201294907,0.052233909581574964,0.09413119282245008,0.5642849433351322,0.4,0.5555661375661376,0.24000000000000005,0.6,0.5,0.8,0.32857142857142857,0.5878571428571429,0.4583333333333333,11,24,0.9484126811557567,0.7777777777777778,0.5331383149666322,0.945,0.7333333333333333,0.6,0.0,0.2733304637220502,0.23239449781648822,1,0.13826330499403813,3,0.44424528710993016,A plastic folder in the drawer
