condition,seed_index,seed,steps,candidates,picked,pool_frontier,picked_frontier,pool_ontology,picked_ontology,pool_readability,picked_readability,pool_loop,picked_loop,pool_transport,picked_transport,pool_sprawl,picked_sprawl,pool_anchor,picked_anchor
old_live_no_loop_guard,1,The receipt on the counter,3,24,3,0.04019263199485325,0.09767618948704514,0.11308866441866516,0.25,0.7719439702909757,0.9039168094422235,0.2581174467893218,0.09090909090909093,0.6460695771242646,0.7812409812409813,0.7191813437439308,0.62474556164698,0.7569444444444445,0.7222222222222222
old_live_no_loop_guard,2,A plastic folder in the drawer,3,24,3,0.000938055805888662,0.0,0.0025,0.0,0.693736206940447,0.8686118618618619,0.5179797332524049,0.3229166666666667,0.3902759432492888,0.5069444444444444,0.3265238186278405,0.16182258064516133,0.6979166666666666,0.6666666666666666
old_live_no_loop_guard,3,The bus was ten minutes late,3,24,3,0.00667684472052732,0.01388950568596766,0.020101062886136337,0.037037037037037035,0.7714211837606282,0.8280311344074548,0.051388888888888894,0.0,0.816045123857624,0.8380952380952381,0.8457923149840211,0.8556166529830324,0.6458333333333334,0.5833333333333334
old_live_no_loop_guard,4,A blue mug near the sink,3,24,3,0.0073640015147462615,0.026499669268286202,0.01175925925925926,0.037037037037037035,0.8102115553326951,0.899708547008547,0.40461309523809524,0.225,0.49668072089947085,0.6097222222222222,0.3744790946620584,0.14860286120380675,0.7395833333333334,0.6666666666666666
old_live_no_loop_guard,5,The spreadsheet was still open,3,24,3,0.028655861677139214,0.12825468997668998,0.06417009796705682,0.22777777777777777,0.7158992230052674,0.7752890442890443,0.5332461225230833,0.5333333333333333,0.42329745680728265,0.375,0.43426752982410316,0.0,0.7708333333333334,0.8333333333333334
old_live_no_loop_guard,6,The elevator button was cracked,3,24,3,0.023944469029156857,0.09330369997373857,0.06018518518518518,0.22777777777777777,0.792193278812464,0.8047187177438152,0.06400115407468349,0.0,0.8037455089844796,0.8055555555555557,0.7155876676796971,0.7210635891731555,0.7395833333333334,0.8333333333333334
old_live_no_loop_guard,7,A delivery label on a cardboard box,3,24,3,0.06465956260327037,0.19222013298692417,0.1950462962962963,0.55,0.7345919001878541,0.713112707366277,0.2908183756525314,0.16783216783216784,0.6163872150042856,0.7067599067599067,0.7103316976424424,0.7134436719812137,0.53125,0.6666666666666666
old_live_no_loop_guard,8,I am opening the fridge,3,24,3,0.01179380621766312,0.08311365930956423,0.02587962962962963,0.18333333333333335,0.8523422830068927,0.9208972980373172,0.1735101703851704,0.19090909090909092,0.7232990678303178,0.6523569023569024,0.796624780123859,0.5887419663824003,0.8645833333333334,1.0
old_live_no_loop_guard,9,I am waiting for the printer,4,32,4,0.052244427739128706,0.22074068141934275,0.09038194444444445,0.3277777777777778,0.7832420471785752,0.7472327454620733,0.3908895502645503,0.40254629629629635,0.4836503113977072,0.41778549382716046,0.5129794013023731,0.19996554041527628,0.8984375,0.9375
old_live_no_loop_guard,10,The phone charger under the desk,3,24,3,0.010986146010674316,0.07155525333279995,0.03189814814814815,0.20555555555555557,0.7504939802605977,0.7304781746031747,0.3325638578242745,0.3617283950617285,0.5028543432840308,0.4592592592592592,0.5012808132823949,0.4926162248176988,0.8645833333333334,0.8333333333333334
old_live_no_loop_guard,11,A grocery list beside the kettle,3,24,3,0.01687463952950082,0.13256041348596276,0.04675925925925926,0.3666666666666667,0.7931260416980043,0.7511077769519798,0.16219868094868095,0.20014245014245016,0.7206823847448848,0.6423076923076922,0.7539312367662618,0.6438668891360773,0.7083333333333334,0.75
old_live_no_loop_guard,12,The laundry basket by the door,4,32,4,0.0,0.0,0.0,0.0,0.7427339673674352,0.8692536312908654,0.4438127215241186,0.4625,0.4401092152332961,0.3895833333333333,0.5454319717841253,0.3055540878754172,0.8515625,0.8125
live_loop_guard,1,The receipt on the counter,3,24,3,0.0292105317139921,0.06317969932198424,0.07116401884877425,0.12092102380367827,0.7951858038671437,0.8703375872185228,0.18531594698874113,0.0,0.7081148100832536,0.7888888888888888,0.633114711921316,0.4206108484736127,0.7638888888888888,0.8888888888888888
live_loop_guard,2,A plastic folder in the drawer,3,24,3,0.00354014684476662,0.008804818277368277,0.010185185185185184,0.022222222222222223,0.7490702573355028,0.7381072068304309,0.1811257496266204,0.0,0.7283693562978345,0.8784722222222222,0.7516334688053266,0.631027005314547,0.5833333333333334,0.5833333333333334
live_loop_guard,3,The bus was ten minutes late,3,24,3,0.009574614899633547,0.06917574820014992,0.026441798941798943,0.18783068783068782,0.7660033501104558,0.8409496421417305,0.06135325292397661,0.12152777777777779,0.8369304106787175,0.7590112433862434,0.8524502478503453,0.8739621647509579,0.6770833333333334,0.75
live_loop_guard,4,A blue mug near the sink,3,24,3,0.03236824111945851,0.11071399969528102,0.0856622807543689,0.2911111111111111,0.7552696506216904,0.7258608469695135,0.16770648333148333,0.12698412698412698,0.7177795890112066,0.7463908640379229,0.7061667801168984,0.6985156726847496,0.8020833333333334,0.9166666666666666
live_loop_guard,5,The spreadsheet was still open,3,24,3,0.0022618570544520396,0.0,0.0063264643966113,0.0,0.7456086660381941,0.8968589743589743,0.040221571084574186,0.0,0.8954417474009193,0.9064814814814816,0.8299730069495609,0.6343603386478804,0.5104166666666666,0.5
live_loop_guard,6,The elevator button was cracked,3,24,3,0.013416867383512545,0.10363127240143367,0.027083333333333334,0.20555555555555557,0.7977913382844678,0.9216666666666667,0.07910722724319215,0.0,0.7520310420015738,0.7333333333333334,0.7330201190807246,0.7358311925066653,0.84375,1.0
live_loop_guard,7,A delivery label on a cardboard box,3,24,3,0.011389819062170958,0.05433449707578978,0.030555555555555558,0.1383987731361289,0.7282701517423086,0.7531358117986408,0.16814693680502504,0.08333333333333333,0.7521570205393734,0.7878787878787877,0.810900841165771,0.6424159670356835,0.5104166666666666,0.3333333333333333
