prompt_mode,alpha,seed_count,candidate_count,candidate_fraction,minimum_anchor_coverage,anchor_phrase_coverage,ontology_collapse_density,syntax_readability_proxy,readable_ontology_frontier,traceable_transport_score,surface_style_pressure,decoration_without_transport,cliche_attractor_score,fantasy_prop_score,semantic_loop_pressure,unbridged_novelty,object_budget_pressure,unfinished,decorative_near_miss_rate,stable_rate,readable_transport_rate,failure_rate,mixed_rate,anchor_full_rate,anchor_traceable_rate
naive,0.0,12,65,0.6770833333333334,1.0,1.0,0.11271942458009661,0.6544481164997245,0.036854202237940475,0.056311137816448247,0.26666666666666666,0.15359262255191422,0.17435897435897435,0.06076923076923077,0.14777641738167702,0.7110725981373066,0.9956089743589744,0.0,0.36923076923076925,0.3384615384615385,0.15384615384615385,0.13846153846153847,0.0,0.6770833333333334,0.9270833333333334
naive,0.6,12,62,0.6458333333333334,1.0,1.0,0.2637718435400023,0.6698165069355005,0.08131985483265962,0.052595057579116075,0.3494623655913978,0.1800972388598352,0.3064516129032258,0.10725806451612904,0.11104574619875403,0.7442402840207056,0.9990927419354839,0.0064516129032258064,0.27419354838709675,0.11290322580645161,0.3225806451612903,0.2903225806451613,0.0,0.6458333333333334,0.8333333333333334
naive,1.2,12,51,0.53125,1.0,1.0,0.44427984992402786,0.6918490558516112,0.14899968383114603,0.04446071487717618,0.3071895424836601,0.1152395493321044,0.5098039215686274,0.28627450980392155,0.2224574391919522,0.7472964116439919,0.9988970588235294,0.01568627450980392,0.0784313725490196,0.0784313725490196,0.23529411764705882,0.6078431372549019,0.0,0.53125,0.7916666666666666
operational,0.0,12,65,0.6770833333333334,1.0,1.0,0.057652744375482984,0.6669702664871244,0.019438863276078088,0.06031370659286961,0.046153846153846156,0.027225197857513837,0.02564102564102564,0.011923076923076923,0.17019000193150932,0.6645119566436609,0.9800961538461538,0.0,0.1076923076923077,0.7692307692307693,0.046153846153846156,0.07692307692307693,0.0,0.6770833333333334,0.8854166666666666
operational,0.6,12,66,0.6875,1.0,1.0,0.07433738239094498,0.6878765213966087,0.025268414246841862,0.06290399424143804,0.12626262626262624,0.07578234780599176,0.06565656565656565,0.04772727272727273,0.157568453347959,0.6638999982666561,0.9751578282828283,0.0,0.24242424242424243,0.6060606060606061,0.12121212121212122,0.030303030303030304,0.0,0.6875,0.9375
operational,1.2,12,48,0.5,1.0,1.0,0.3131451449411811,0.6921437569817015,0.10689960688034257,0.054342981275593,0.125,0.04981936300647871,0.3680555555555556,0.26458333333333334,0.2505734325380912,0.6995376046650689,0.9740885416666667,0.03333333333333333,0.041666666666666664,0.25,0.22916666666666666,0.4791666666666667,0.0,0.5,0.75
