scope,contrast,left,right,metric,seed_pairs,mean_delta,median_delta,ci95_low,ci95_high,positive_seed_fraction
all,operational_high_alpha_change,operational alpha=1.20,operational alpha=0.60,decoration_without_transport,12,-0.025719213496189264,-0.010000753381658052,-0.06296264839560807,0.010347069377900496,0.3333333333333333
all,operational_high_alpha_change,operational alpha=1.20,operational alpha=0.60,decorative_near_miss_rate,12,-0.17708333333333334,-0.1875,-0.2916666666666667,-0.0625,0.16666666666666666
all,operational_high_alpha_change,operational alpha=1.20,operational alpha=0.60,readable_transport_rate,12,0.041666666666666664,-0.0625,-0.09375,0.1875,0.4166666666666667
all,operational_high_alpha_change,operational alpha=1.20,operational alpha=0.60,failure_rate,12,0.5208333333333334,0.5625,0.3645833333333333,0.6666666666666666,0.8333333333333334
all,prompt_x_corridor_interaction,operational corridor gain,naive corridor gain,anchor_phrase_coverage,12,0.059895833333333336,0.046875,-0.010416666666666666,0.1328125,0.6666666666666666
all,prompt_x_corridor_interaction,operational corridor gain,naive corridor gain,ontology_collapse_density,12,-0.0878686226068978,-0.09938337866176558,-0.15210806951110417,-0.016717564816333373,0.25
all,prompt_x_corridor_interaction,operational corridor gain,naive corridor gain,syntax_readability_proxy,12,0.011092636862895577,0.017336549404033952,-0.01565714415072801,0.03371644524075218,0.6666666666666666
all,prompt_x_corridor_interaction,operational corridor gain,naive corridor gain,decoration_without_transport,12,0.02904282562008172,0.06658646791610193,-0.036834189854382735,0.09195611437158431,0.6666666666666666
all,prompt_x_corridor_interaction,operational corridor gain,naive corridor gain,decorative_near_miss_rate,12,0.22916666666666666,0.3125,0.041666666666666664,0.4270833333333333,0.6666666666666666
all,prompt_x_corridor_interaction,operational corridor gain,naive corridor gain,readable_transport_rate,12,-0.020833333333333332,0.0,-0.14583333333333334,0.10416666666666667,0.3333333333333333
all,prompt_x_corridor_interaction,operational corridor gain,naive corridor gain,failure_rate,12,-0.3125,-0.25,-0.46875,-0.17708333333333334,0.0
exact_anchor,operational_prompt_gain_at_zero,operational alpha=0.00,naive alpha=0.00,anchor_phrase_coverage,12,0.0,0.0,0.0,0.0,0.0
exact_anchor,operational_prompt_gain_at_zero,operational alpha=0.00,naive alpha=0.00,ontology_collapse_density,12,-0.03631764686108102,-0.016860151385864663,-0.07288795890685354,-0.001368287261485029,0.3333333333333333
exact_anchor,operational_prompt_gain_at_zero,operational alpha=0.00,naive alpha=0.00,syntax_readability_proxy,12,0.020718014860888753,0.007051636412608475,0.00017662267932036112,0.055401198362697225,0.6666666666666666
exact_anchor,operational_prompt_gain_at_zero,operational alpha=0.00,naive alpha=0.00,decoration_without_transport,12,-0.10413934271233181,-0.1080597845735875,-0.1539991032256738,-0.051975110627552036,0.08333333333333333
exact_anchor,operational_prompt_gain_at_zero,operational alpha=0.00,naive alpha=0.00,decorative_near_miss_rate,12,-0.2349206349206349,-0.22023809523809523,-0.36032242063492065,-0.09126984126984128,0.08333333333333333
exact_anchor,operational_prompt_gain_at_zero,operational alpha=0.00,naive alpha=0.00,readable_transport_rate,12,-0.06964285714285713,0.0,-0.14583333333333334,0.001984126984126984,0.16666666666666666
exact_anchor,operational_prompt_gain_at_zero,operational alpha=0.00,naive alpha=0.00,failure_rate,12,-0.056249999999999994,0.0,-0.16170634920634921,0.04563740079365076,0.25
