prompt_mode,alpha,seed_count,candidate_count,candidate_fraction,minimum_anchor_coverage,anchor_phrase_coverage,ontology_collapse_density,syntax_readability_proxy,readable_ontology_frontier,traceable_transport_score,surface_style_pressure,decoration_without_transport,cliche_attractor_score,fantasy_prop_score,semantic_loop_pressure,unbridged_novelty,object_budget_pressure,unfinished,decorative_near_miss_rate,stable_rate,readable_transport_rate,failure_rate,mixed_rate,anchor_full_rate,anchor_traceable_rate
naive,0.0,12,96,1.0,0.0,0.9010416666666666,0.09132130429531322,0.6620600354744066,0.03002236329472527,0.052486925407175894,0.2708333333333333,0.1432218377533715,0.15625,0.057291666666666664,0.14743381657124957,0.7405318938000813,0.9970269097222223,0.0,0.34375,0.34375,0.125,0.1875,0.0,0.6770833333333334,0.9270833333333334
naive,0.6,12,96,1.0,0.0,0.8619791666666666,0.20553935118751898,0.6744549957308273,0.0634579542898978,0.04913349429162104,0.3298611111111111,0.15921686841085633,0.2951388888888889,0.10625000000000001,0.13621355618512584,0.7622146486642909,0.9988281250000001,0.008333333333333333,0.25,0.10416666666666667,0.21875,0.4270833333333333,0.0,0.6458333333333334,0.8333333333333334
naive,1.2,12,96,1.0,0.0,0.8125,0.392267747334643,0.6508094187783077,0.11600879085793579,0.04406215681873382,0.3159722222222222,0.10052723700609134,0.5,0.24661458333333333,0.1723620187933006,0.7790761693660282,0.9994140625,0.09635416666666667,0.052083333333333336,0.041666666666666664,0.19791666666666666,0.7083333333333334,0.0,0.53125,0.7916666666666666
operational,0.0,12,96,1.0,0.0,0.8802083333333334,0.059411408559741925,0.668937574741756,0.019724764662043672,0.060071589970486707,0.03472222222222222,0.01945868664672989,0.024305555555555552,0.008072916666666667,0.15562672401061756,0.6908329306596724,0.9660156249999999,0.0,0.07291666666666667,0.6979166666666666,0.052083333333333336,0.17708333333333334,0.0,0.6770833333333334,0.8854166666666666
operational,0.6,12,96,1.0,0.0,0.9010416666666666,0.08576083284504987,0.6924251718610722,0.029529670024776078,0.061874474807226444,0.11458333333333333,0.06449654292429645,0.07291666666666667,0.06223958333333334,0.14092865378697772,0.6892414351739622,0.9717664930555556,0.004166666666666667,0.20833333333333334,0.5625,0.125,0.10416666666666667,0.0,0.6875,0.9375
operational,1.2,12,96,1.0,0.0,0.7890625,0.29855404094459276,0.7122290569077504,0.1005375435173243,0.05412559727637064,0.10416666666666667,0.03877732942810718,0.3680555555555556,0.26276041666666666,0.18958739570645067,0.7356496266141054,0.9647135416666667,0.05052083333333334,0.03125,0.17708333333333334,0.16666666666666666,0.625,0.0,0.5,0.75
