source,label,alpha,rows,picked_rows,frontier_mean,readability_mean,ontology_mean,unfinished_mean,cliche_mean,music_box_rate,stock_hub_rate,transport_hub_rate,hub_any_rate,picked_music_box_rate,picked_stock_hub_rate,picked_transport_hub_rate,wide_rows,wide_music_box_rate,wide_stock_hub_rate,wide_transport_hub_rate,peak_rows,peak_music_box_rate,top10_rows,top10_music_box_rate,matched_rows,matched_music_box_rate,matched_stock_hub_rate,matched_transport_hub_rate
mundane_seed_probe,steer_alpha_0p66,0.66,760,40,0.04958205082055815,0.5647560978563256,0.2809013428000229,0.2704605263157895,0.7684210526315789,0.39210526315789473,0.7460526315789474,0.7855263157894737,0.8394736842105263,0.25,0.725,0.65,54,0.5185185185185185,0.8518518518518519,0.8703703703703703,0,,92,0.4673913043478261,53,0.4339622641509434,0.7358490566037735,0.8679245283018868
mundane_seed_probe,steer_alpha_0p72,0.72,760,40,0.05180383379364149,0.5620795867178453,0.30628699440024165,0.2941184210526316,0.8236842105263158,0.4697368421052632,0.7144736842105263,0.7763157894736842,0.8473684210526315,0.575,0.8,0.8,36,0.75,0.8888888888888888,0.9166666666666666,2,1.0,78,0.6538461538461539,36,0.6111111111111112,0.7777777777777778,0.8055555555555556
mundane_seed_probe,steer_alpha_0p77,0.77,760,40,0.054157907490686746,0.5761783511544207,0.31282720072494413,0.31131578947368427,0.7679824561403509,0.4052631578947368,0.7026315789473684,0.7684210526315789,0.8052631578947368,0.425,0.85,0.8,39,0.5384615384615384,0.8205128205128205,0.8461538461538461,1,1.0,98,0.46938775510204084,39,0.48717948717948717,0.5897435897435898,0.717948717948718
mundane_seed_probe,steer_alpha_0p82,0.82,760,40,0.04739387841427447,0.527866812588226,0.31095083377549915,0.35138157894736843,0.8521929824561403,0.49078947368421055,0.6828947368421052,0.7486842105263158,0.7868421052631579,0.625,0.75,0.85,30,0.7,0.9,0.9,1,1.0,65,0.7076923076923077,30,0.6,0.7666666666666667,0.8333333333333334
mundane_seed_probe,steer_alpha_0p88,0.88,760,40,0.04493718841449987,0.5280038862927575,0.28490973660437563,0.36167105263157895,0.8385964912280702,0.4513157894736842,0.6921052631578948,0.7381578947368421,0.7710526315789473,0.45,0.725,0.775,30,0.6,0.8333333333333334,0.8666666666666667,4,1.0,47,0.5957446808510638,30,0.6666666666666666,0.9333333333333333,1.0
step1_control_probe,selector_alpha_0,0.0,192,8,0.009539251389397886,0.6751864649073306,0.032728165699927536,0.034270833333333334,0.022569444444444444,0.0,0.036458333333333336,0.3229166666666667,0.328125,0.0,0.0,0.25,4,0.0,0.0,0.25,4,0.0,23,0.0,4,0.0,0.25,0.25
step1_control_probe,steer_alpha_0p66,0.66,192,8,0.01152578931838726,0.7084858095363353,0.03982449686529955,0.05958333333333334,0.2743055555555555,0.08854166666666667,0.3020833333333333,0.4739583333333333,0.4947916666666667,0.0,0.125,0.25,10,0.2,0.4,0.6,2,0.0,19,0.15789473684210525,10,0.0,0.4,0.6
step1_control_probe,steer_alpha_0p77,0.77,192,8,0.01244436178638768,0.7431750663613866,0.03974857540785772,0.04833333333333334,0.3159722222222222,0.14583333333333334,0.3229166666666667,0.5572916666666666,0.578125,0.0,0.25,0.625,10,0.3,0.4,0.8,5,0.2,16,0.25,10,0.1,0.2,0.5
base_control_small,selector_alpha_0p66,0.66,143,12,0.006594407409964736,0.713085850326338,0.021443346183209873,0.02083916083916084,0.05361305361305361,0.0,0.006993006993006993,0.3076923076923077,0.3146853146853147,0.0,0.0,0.5833333333333334,2,0.0,0.0,0.5,2,0.0,15,0.0,2,0.0,0.0,0.5
