scope,metric,baseline,loop,bridge,combined,loop_effect,bridge_effect,combined_effect,interaction
pool,readable_ontology_frontier,0.015896489577782818,0.020518851408442066,0.01863277184255707,0.015561122848630959,0.004622361830659248,0.0027362822647742507,-0.0003353667291518588,-0.007694010824585356
pool,ontology_collapse_density,0.0423137183372557,0.06106510399901871,0.05232354842018936,0.041387792411329775,0.018751385661763008,0.010009830082933657,-0.0009259259259259273,-0.029687141670622592
pool,syntax_readability_proxy,0.7454709829048839,0.7309970998026917,0.7431621287493554,0.7605476054576935,-0.01447388310219222,-0.002308854155528506,0.015076622552809615,0.03185935981053034
pool,graph_fragmentation,0.7730258619561057,0.7992267484313595,0.7607352251060105,0.7733645269410095,0.02620088647525387,-0.012290636850095127,0.0003386649849038692,-0.013571584640254875
pool,semantic_loop_pressure,0.242406374540885,0.1765763230553348,0.25218012536708867,0.22211416674867723,-0.06583005148555021,0.009773750826203659,-0.020292207792207778,0.035764092867138775
pool,trajectory_revisit_pressure,0.045279671816255494,0.034655983245968754,0.04988911528643266,0.04396433954134441,-0.01062368857028674,0.004609443470177166,-0.0013153322749110824,0.004698912825198492
pool,lineage_bridge,0.24450781423437673,0.25398848751330366,0.25076908768315015,0.2461571197899323,0.009480673278926932,0.006261273448773419,0.0016493055555555636,-0.014092641172144815
pool,unbridged_novelty,0.7342062304785459,0.7454283537612173,0.728359874675517,0.7345970433693587,0.011222123282671359,-0.005846355803028946,0.00039081289081277504,-0.004984954588829638
pool,object_budget_pressure,0.6024739583333333,0.6469618055555556,0.5838541666666667,0.5990451388888889,0.04448784722222232,-0.018619791666666607,-0.0034288194444443976,-0.02929687500000011
pool,traceable_transport_score,0.09116977065780936,0.08791239703384825,0.0992198425971788,0.10046948834458509,-0.003257373623961113,0.008050071939369435,0.009299717686775733,0.00450701937136741
pool,ordinary_anchor_retention,0.640625,0.6354166666666666,0.65625,0.6354166666666666,-0.00520833333333337,0.015625,-0.00520833333333337,-0.015625
pool,unfinished,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
picked,readable_ontology_frontier,0.04009397158229248,0.05122771307753834,0.03711603913296841,0.03911994154042996,0.01113374149524586,-0.0029779324493240666,-0.0009740300418625142,-0.009129839087784308
picked,ontology_collapse_density,0.10524993055689102,0.14659101466116156,0.09537037037037038,0.10175098251117838,0.04134108410427054,-0.009879560186520642,-0.0034989480457126437,-0.034960471963462525
picked,syntax_readability_proxy,0.7840909027726756,0.7500988562248138,0.7668533542868649,0.7926158718278731,-0.03399204654786181,-0.017237548485810716,0.008524969055197507,0.05975456408887003
picked,graph_fragmentation,0.7757303435695748,0.7534669291938133,0.6706306638107598,0.7537628902042836,-0.022263414375761514,-0.10509967975881507,-0.021967453365291267,0.10539564076928531
picked,semantic_loop_pressure,0.15724815357879876,0.09346322537112012,0.26011171658101484,0.15902585799515626,-0.06378492820767864,0.10286356300221608,0.001777704416357495,-0.03730093037817994
picked,trajectory_revisit_pressure,0.05504303227902366,0.02407848707664884,0.07721937054173895,0.07041133482745325,-0.030964545202374818,0.022176338262715298,0.015368302548429594,0.024156509488089117
picked,lineage_bridge,0.25753968253968257,0.19803685897435896,0.3339285714285714,0.3252480158730159,-0.059502823565323604,0.07638888888888884,0.06770833333333331,0.05082226800976808
picked,unbridged_novelty,0.6965292155509547,0.7909620865890216,0.5849867724867724,0.6072435012652404,0.09443287103806686,-0.11154244306418226,-0.0892857142857143,-0.0721761422595989
picked,object_budget_pressure,0.4902777777777778,0.5899305555555555,0.27708333333333335,0.40729166666666666,0.0996527777777777,-0.21319444444444446,-0.08298611111111115,0.030555555555555614
picked,traceable_transport_score,0.12048349248375788,0.09665156007421087,0.18813499893896232,0.18877411134232824,-0.023831932409547008,0.06765150645520444,0.06829061885857036,0.02447104481291293
picked,ordinary_anchor_retention,0.6875,0.625,0.75,0.75,-0.0625,0.0625,0.0625,0.0625
picked,unfinished,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
