condition,scope,count,readable_ontology_frontier,ontology_collapse_density,syntax_readability_proxy,graph_fragmentation,semantic_loop_pressure,trajectory_revisit_pressure,lineage_bridge,unbridged_novelty,object_budget_pressure,traceable_transport_score,ordinary_anchor_retention,unfinished
baseline,pool,48,0.015896489577782818,0.0423137183372557,0.7454709829048839,0.7730258619561057,0.242406374540885,0.045279671816255494,0.24450781423437673,0.7342062304785459,0.6024739583333333,0.09116977065780936,0.640625,0.0
baseline,picked,12,0.04009397158229248,0.10524993055689102,0.7840909027726756,0.7757303435695748,0.15724815357879876,0.05504303227902366,0.25753968253968257,0.6965292155509547,0.4902777777777778,0.12048349248375788,0.6875,0.0
loop,pool,48,0.020518851408442066,0.06106510399901871,0.7309970998026917,0.7992267484313595,0.1765763230553348,0.034655983245968754,0.25398848751330366,0.7454283537612173,0.6469618055555556,0.08791239703384825,0.6354166666666666,0.0
loop,picked,12,0.05122771307753834,0.14659101466116156,0.7500988562248138,0.7534669291938133,0.09346322537112012,0.02407848707664884,0.19803685897435896,0.7909620865890216,0.5899305555555555,0.09665156007421087,0.625,0.0
bridge,pool,48,0.01863277184255707,0.05232354842018936,0.7431621287493554,0.7607352251060105,0.25218012536708867,0.04988911528643266,0.25076908768315015,0.728359874675517,0.5838541666666667,0.0992198425971788,0.65625,0.0
bridge,picked,12,0.03711603913296841,0.09537037037037038,0.7668533542868649,0.6706306638107598,0.26011171658101484,0.07721937054173895,0.3339285714285714,0.5849867724867724,0.27708333333333335,0.18813499893896232,0.75,0.0
combined,pool,48,0.015561122848630959,0.041387792411329775,0.7605476054576935,0.7733645269410095,0.22211416674867723,0.04396433954134441,0.2461571197899323,0.7345970433693587,0.5990451388888889,0.10046948834458509,0.6354166666666666,0.0
combined,picked,12,0.03911994154042996,0.10175098251117838,0.7926158718278731,0.7537628902042836,0.15902585799515626,0.07041133482745325,0.3252480158730159,0.6072435012652404,0.40729166666666666,0.18877411134232824,0.75,0.0
